评论标题,评分,评论人,评论时间,产品属性,是否verified purchase,评论内容，多少人点赞
Outstanding product AND company!,5,dpkeith,December/24/2014,Style:Trainer,否,Not only is the trainer great the company is amazing!! Bought one of these about 4-5 years ago and use it at least 3 times a week for 45 minutes each time. Not sure what it was but the unit got really noisy like something was loose. Was able to tighten the one nut and it worked for a while but then it got noisy again and tightening didn't work. Got on the site for support and described the problem and asked if there was a fix for it. I received a response later that day from Sam Keller. He asked me to record the sound the unit was making and send it to him. I did and he told me that something indeed was wrong. He gave me a RA number and address and asked me to send it to them. I boxed it up and sent it (not understanding he only wanted the resistance part not the whole thing). About 10 days later I received a brand new trainer - at NO CHARGE!! It works great and is super quiet. I can't say enough good things about the company and Sam - too bad more companies don't stand behind their products like this one.,133
This device does all of that and I'm very happy with it,4,Jeffrey Pedersen,March/20/2017,Style:Trainer,有,I wanted a solid well built machine that would provide a smooth road-like feel when pedaling and so I was willing to pay a bit more. This device does  all of that and I'm very happy with it. I did need the CycleOps skewer in order to mount my Specialized Pitch mountain bike to the Fluid2. No big deal at about $13 and an easy swap out. The bike mounted easily and firmly. I started spinning with the knobby wheels on my bike and it worked fine but there was a lot of whirring noise. Fine for outside but I decided to put smooth tires on and that noise is almost completely gone. My ONLY gripe is that maximum tension isn't extremely tough. I'm a novice spinner and so far the tension is fine when I'm pedaling in about 15th gear but if I get very strong and pedaling at 18th gear (my bike's max gear) becomes too easy-- what then? Also a side note: I've read that some people have noticed their street tires becoming shredded by this trainer. I have noticed my rear tire gets a little warm to the touch after spinning for several minutes and have also noticed a little residual rubber on the smooth surface of the flywheel. Haven't noticed any "shredding" but it's too soon to say since I've used it maybe a total of a few hours so far.,10
Great Company- worth shouting about,5,Charlene Hewlett,March/17/2015,Style:Trainer,否,This never happens I have a 3-4 year old fluid trainer It has some hours on it but nothing crazy. This year it started getting really noisy (grinding sound) and the resistance was not as strong as it had been. I sent an e-mail to Cyclops and got a reply from Saris (apparently the parent company) with the usual questions how old? did you register it for warranty? where did you buy it? to which I could only reply no and I do not remember. They said fine take the drive motor off (one bolt) and ship it to us and we will see what we can do. 5 days later I got and e-mail with a tracking number for the new motor unit they were sending me no questions asked. You do not find a lot of good companies like this any more so I am writing my first Public review ever. Oh yeah and it is a great trainer too.,98
Great trainer,5,Jesse,September/26/2017,Style:Trainer,有,Great trainer and easy to setup. Took about 10 minutes from out of the box to ready to use. Smooth and road like feel. Also very quiet at 76db around 80rpm. I had this trainer for a little over a week now and only put on a few miles because I still ride outdoors. But I'm looking forward to doing more indoor riding once the weather starts getting colder. What's also nice about the trainer is you can make your bike fit adjustments and video your riding position.,8
This is very easy to use,5,Love2Read,January/4/2018,Style:Trainer,有,This is very easy to use and I find the "lower" impact resistance good for my hips and knees.  The noise is a bit much but since we have a basement space it's easier for us.  The noise may create issues in a smaller space.Do not forget the stiff hard mat that goes under your wheel or use a hard floor.  That's still pushing it though.  Believe me I learned quickly that you can burn a hole in the carpet without that necessary piece.  :),3
Big fan of cyclEOps,5,Cp,November/8/2015,Style:Trainer,有,i have to admit I am a big fan of their products. This is a great trainer for some serious training. During the week it get hard to go out and do the miles. But this trainer allows me to put the hours in the saddle. Sturdy construction. They have fixed some of the issues with the mechanism to hold the bicycle. And it makes it a lot more easier to set up.,5
received this today mounting bracket for the resistance unit ...,1,Brandon,December/21/2017,Style:Trainer,有,received this today mounting bracket for the resistance unit was welded on crooked. Placed side load on my rear tire because of the misalignment. I would be afraid of damaging my bike frame/ rear wheel by using it as is. I am currently awaiting the processing of a replacement unit. Hopefully the replacement doesn't suffer from the same issue.,2
Missing 'included' pieces- replacement easy to request,4,Suk4n4,February/13/2017,Style:Trainer,有,Product- looks good. I have to believe so since it was delivered without all of the purchases material so I currently cannot use it. Bummer. Not sure if anyone else had this problem that two bolts and knob are missing. Disappointed.Update: I called Cycle Ops and explained my situation and they are mailing me the missing parts. No hassle just good customer service. Improvement!!,One
Works well.,4,Cheryl Gilbert,May/29/2016,Style:Trainer,有,The trainer works great...no problems.  It was a bit difficult to figure out how to put it together though.  I was able to find a youtube video that was much more helpful than the papers with the product.,2
Number one rated for a good reason!,5,Andrew Rich,February/28/2017,Style:Trainer,有,Number one rated for a good reason! Super easy to set up though you do need to replace your skewer with the one they provide. Instructions are simple to follow. Gives a great workout and then stows away out of sight.,One
